id,date,variable,value
475,10/23/2017,GOOG,1019.27002
476,10/30/2017,GOOG,1032.47998
477,11/6/2017,GOOG,1028.069946
478,11/13/2017,GOOG,1019.090027
479,11/20/2017,GOOG,1040.609985
480,11/27/2017,GOOG,1010.169983
481,12/4/2017,GOOG,1037.050049
482,12/11/2017,GOOG,1064.189941
483,12/18/2017,GOOG,1060.119995
484,12/25/2017,GOOG,1046.400024
485,1/1/2018,GOOG,1102.22998
486,1/8/2018,GOOG,1122.26001
487,1/15/2018,GOOG,1137.51001
488,1/22/2018,GOOG,1175.839966
489,1/29/2018,GOOG,1111.900024
490,2/5/2018,GOOG,1037.780029
491,2/12/2018,GOOG,1094.800049
492,2/19/2018,GOOG,1126.790039
493,2/26/2018,GOOG,1078.920044
494,3/5/2018,GOOG,1160.040039
495,3/12/2018,GOOG,1135.72998
496,3/19/2018,GOOG,1021.570007
497,3/26/2018,GOOG,1031.790039
498,4/2/2018,GOOG,1007.039978
499,4/9/2018,GOOG,1029.27002
500,4/16/2018,GOOG,1072.959961
501,4/23/2018,GOOG,1030.050049
502,4/30/2018,GOOG,1048.209961
503,5/7/2018,GOOG,1098.26001
504,5/14/2018,GOOG,1066.359985
505,5/21/2018,GOOG,1075.660034
506,5/28/2018,GOOG,1119.5
507,6/4/2018,GOOG,1120.869995
508,6/11/2018,GOOG,1152.26001
509,6/18/2018,GOOG,1155.47998
510,6/25/2018,GOOG,1115.650024
511,7/2/2018,GOOG,1140.170044
512,7/9/2018,GOOG,1188.819946
513,7/16/2018,GOOG,1184.910034
514,7/23/2018,GOOG,1238.5
515,7/30/2018,GOOG,1223.709961
516,8/6/2018,GOOG,1237.609985
517,8/13/2018,GOOG,1200.959961
518,8/20/2018,GOOG,1220.650024
519,8/27/2018,GOOG,1218.189941
520,9/3/2018,GOOG,1164.829956
521,9/10/2018,GOOG,1172.530029
522,9/17/2018,GOOG,1166.089966
523,9/24/2018,GOOG,1193.469971
524,10/1/2018,GOOG,1157.349976
525,10/8/2018,GOOG,1110.079956
526,10/15/2018,GOOG,1096.459961
527,10/22/2018,GOOG,1071.469971
528,10/29/2018,GOOG,1057.790039
529,11/5/2018,GOOG,1066.150024
530,11/12/2018,GOOG,1061.48999
531,11/19/2018,GOOG,1023.880005
532,11/26/2018,GOOG,1094.430054
533,12/3/2018,GOOG,1036.579956
534,12/10/2018,GOOG,1042.099976
535,12/17/2018,GOOG,979.539978
536,12/24/2018,GOOG,1037.079956
537,12/31/2018,GOOG,1070.709961
538,1/7/2019,GOOG,1057.189941
539,1/14/2019,GOOG,1098.26001
540,1/21/2019,GOOG,1090.98999
541,1/28/2019,GOOG,1110.75
542,2/4/2019,GOOG,1095.060059
543,2/11/2019,GOOG,1113.650024
544,2/18/2019,GOOG,1110.369995
545,2/25/2019,GOOG,1140.98999
546,3/4/2019,GOOG,1142.319946
547,3/11/2019,GOOG,1184.459961
548,3/18/2019,GOOG,1205.5
549,3/25/2019,GOOG,1173.310059
550,4/1/2019,GOOG,1207.150024
551,4/8/2019,GOOG,1217.869995
552,4/15/2019,GOOG,1236.369995
553,4/22/2019,GOOG,1272.180054
554,4/29/2019,GOOG,1185.400024
555,5/6/2019,GOOG,1164.27002
556,5/13/2019,GOOG,1162.300049
557,5/20/2019,GOOG,1133.469971
558,5/27/2019,GOOG,1103.630005
