date,close
1/21/2009,88.36
1/22/2009,88.36
1/25/2009,89.64
1/26/2009,90.73
1/27/2009,94.2
1/28/2009,93
1/29/2009,90.13
2/2/2009,91.51
2/3/2009,92.98
2/4/2009,93.55
2/5/2009,96.46
2/6/2009,99.72
2/9/2009,102.51
2/9/2009,97.83
2/10/2009,96.82
2/11/2009,99.27
2/12/2009,99.16
2/16/2009,94.53
2/17/2009,94.37
2/18/2009,90.64
2/19/2009,91.2
2/22/2009,86.95
2/23/2009,90.25
2/24/2009,91.16
2/25/2009,89.19
2/26/2009,89.31
3/2/2009,87.94
3/3/2009,88.37
3/4/2009,91.17
3/5/2009,88.84
3/6/2009,85.3
3/9/2009,83.11
3/9/2009,88.63
3/10/2009,92.68
3/11/2009,96.35
3/12/2009,95.93
3/15/2009,95.42
3/16/2009,99.66
3/17/2009,101.52
3/18/2009,101.62
3/19/2009,101.59
3/22/2009,107.66
3/23/2009,106.5
3/24/2009,106.49
3/25/2009,109.87
3/26/2009,106.85
3/29/2009,104.49
3/30/2009,105.12
4/1/2009,108.69
4/2/2009,112.71
4/3/2009,115.99
4/6/2009,118.45
4/7/2009,115
4/8/2009,116.32
4/9/2009,119.57
4/9/2009,119.57
4/12/2009,120.22
4/13/2009,118.31
4/14/2009,117.64
4/15/2009,121.45
4/16/2009,123.42
4/19/2009,120.5
4/20/2009,121.76
4/21/2009,121.51
4/22/2009,125.4
4/23/2009,123.9
4/26/2009,124.73
4/27/2009,123.9
4/28/2009,125.14
4/29/2009,125.83
5/1/2009,127.24
5/4/2009,132.07
5/5/2009,132.71
5/6/2009,132.5
5/7/2009,129.06
5/8/2009,129.19
5/10/2009,129.57
5/11/2009,124.42
5/12/2009,119.49
5/13/2009,122.95
5/14/2009,122.42
5/17/2009,126.65
5/18/2009,127.45
5/19/2009,125.87
5/20/2009,124.18
5/21/2009,122.5
5/25/2009,130.78
5/26/2009,133.05
5/27/2009,135.07
5/28/2009,135.81
6/1/2009,139.35
6/2/2009,139.49
6/3/2009,140.95
6/4/2009,143.74
6/5/2009,144.67
6/8/2009,143.85
6/9/2009,142.72
6/9/2009,140.25
6/10/2009,139.95
6/11/2009,136.97
6/14/2009,136.09
6/15/2009,136.35
6/16/2009,135.58
6/17/2009,135.88
6/18/2009,139.48
6/21/2009,137.37
6/22/2009,134.01
6/23/2009,136.22
6/24/2009,139.86
6/25/2009,142.44
6/28/2009,141.97
6/29/2009,142.43
7/1/2009,142.83
7/2/2009,140.02
7/3/2009,140.02
7/6/2009,138.61
7/7/2009,135.4
7/8/2009,137.22
7/9/2009,136.36
7/9/2009,138.52
7/12/2009,142.34
7/13/2009,142.27
7/14/2009,146.88
7/15/2009,147.52
7/16/2009,151.75
7/19/2009,152.91
7/20/2009,151.51
7/21/2009,156.74
7/22/2009,157.82
7/23/2009,159.99
7/26/2009,160.1
7/27/2009,160
7/28/2009,160.03
7/29/2009,162.79
7/30/2009,163.39
8/3/2009,166.43
8/4/2009,165.55
8/5/2009,165.11
8/6/2009,163.91
8/7/2009,165.51
8/9/2009,164.72
8/11/2009,165.31
8/12/2009,168.42
8/13/2009,166.78
8/16/2009,159.59
8/17/2009,164
8/18/2009,164.6
8/19/2009,166.33
8/20/2009,169.22
8/23/2009,169.06
8/24/2009,169.4
8/25/2009,167.41
8/26/2009,169.45
8/27/2009,170.05
8/30/2009,168.21
9/1/2009,165.3
9/2/2009,165.18
9/3/2009,166.55
9/4/2009,170.31
9/8/2009,172.93
9/9/2009,171.14
9/9/2009,172.56
9/10/2009,172.16
9/13/2009,173.72
9/14/2009,175.16
9/15/2009,181.87
9/16/2009,184.55
9/17/2009,185.02
9/20/2009,184.02
9/21/2009,184.48
9/22/2009,185.5
9/23/2009,183.82
9/24/2009,182.37
9/27/2009,186.15
9/28/2009,185.38
9/29/2009,185.35
10/1/2009,180.86
10/2/2009,184.9
10/5/2009,186.02
10/6/2009,190.01
10/7/2009,190.25
10/8/2009,189.27
10/9/2009,190.47
10/11/2009,190.81
10/12/2009,190.02
10/13/2009,191.29
10/14/2009,190.56
10/15/2009,188.05
10/18/2009,189.86
10/19/2009,198.76
10/20/2009,204.92
10/21/2009,205.2
10/22/2009,203.94
10/25/2009,202.48
10/26/2009,197.37
10/27/2009,192.4
10/28/2009,196.35
10/29/2009,188.5
11/2/2009,189.31
11/3/2009,188.75
11/4/2009,190.81
11/5/2009,194.03
11/6/2009,194.34
11/9/2009,201.46
11/9/2009,202.98
11/10/2009,203.25
11/11/2009,201.99
11/12/2009,204.45
11/15/2009,206.63
11/16/2009,207
11/17/2009,205.96
11/18/2009,200.51
11/19/2009,199.92
11/22/2009,205.88
11/23/2009,204.44
11/24/2009,204.19
11/25/2009,204.19
11/26/2009,200.59
11/29/2009,199.91
12/1/2009,196.97
